Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
J. van Overeem;27;Netherlands;73;FC Utrecht;3.5M;Right;8;CM
Alex Pozo;22;Spain;71;Unión Deportiva Almería;4M;Right;17;RB
G. Shinnie;29;Scotland;71;Derby County;1.6M;Left;4;CDM
Sergi Canós;24;Spain;72;Brentford;3.4M;Right;7;CAM
Aguza;27;Spain;68;Unión Deportiva Almería;1.3M;Right;14;CM
C. Löwe;32;Germany;69;SG Dynamo Dresden;975K;Left;15;LB
Juan Villar;33;Spain;70;Unión Deportiva Almería;1M;Right;7;RW
J. Irvine;28;Australia;68;FC St. Pauli;1.2M;Right;7;CM
21 O. Martins;35;Nigeria;74;Wuhan FC;1.8M;Left;32;ST
A. Rüdiger;28;Germany;83;Chelsea;34.5M;Right;2;CB
N. Haas;25;Switzerland;70;Empoli;2.1M;Right;32;CM
16 G. Pineda;32;Mexico;67;Seattle Sounders FC;550K;Left;8;CDM
Cesc Fàbregas;34;Spain;76;AS Monaco;3.5M;Right;4;CM
V. Stocker;32;Switzerland;73;FC Basel 1893;2.4M;Left;14;LM
I. Amadou;28;France;75;Sevilla FC;5.5M;Right;27;CDM
E. Bohinen;22;Norway;69;PFC CSKA Moscow;3.1M;Left;88;CM
19 Y. Gourcuff;31;France;74;Dijon FCO;4.9M;Right;28;CAM
B. Ramselaar;25;Netherlands;72;FC Utrecht;3.1M;Right;23;RM
L. Tousart;24;France;76;Hertha BSC;10.5M;Right;29;CB
I. Hagi;22;Romania;74;Rangers FC;9.5M;Right;7;CAM
I. Cofie;29;Ghana;70;Demir Grup Sivasspor;1.4M;Right;5;CDM
M. Cáceres;34;Uruguay;76;Cagliari;2.4M;Right;4;CB
H. Soudani;33;Algeria;71;Damac FC;1.2M;Left;2;ST
16 O. Kirch;32;Germany;70;SC Paderborn 07;775K;Right;12;CDM
Ivan Cavaleiro;27;Portugal;73;Fulham;3.2M;Right;17;LM
L. Reis;21;Netherlands;71;Hamburger SV;4.2M;Right;14;CM
Ivi López;27;Spain;71;Raków Częstochowa;2.2M;Right;11;RM
R. De Laet;32;Belgium;75;Royal Antwerp FC;3.6M;Right;2;CB
V. Nsimba;27;Congo DR;71;Clermont Foot 63;1.8M;Left;12;LB
D. Ljubicic;23;Austria;72;1. FC Köln;3.4M;Right;7;CDM
Aitor Sanz;36;Spain;70;CD Tenerife;325K;Right;16;CDM
T. Chancalay;22;Argentina;75;Racing Club;12.5M;Right;28;RM
H. Sakai;31;Japan;75;Urawa Red Diamonds;4.1M;Right;2;RB
Sandro;32;Brazil;73;Belenenses SAD;2M;Right;85;CB
F. Honorat;24;France;75;Stade Brestois 29;7.5M;Right;9;RM
A. Morales;31;United States;72;New York City FC;1.6M;Right;7;CDM
L. Palmiero;25;Italy;71;Napoli;2.7M;Right;15;CAM
17 Roger;30;Brazil;75;FC Ingolstadt 04;2.9M;Right;8;CB
20 S. Kalou;33;Côte d'Ivoire;76;Hertha BSC;4.7M;Right;8;CF
21 A. Píriz;32;Uruguay;76;;0;Right;18;CAM
N. Molina;23;Argentina;73;Udinese Calcio;6.5M;Right;16;RWB
S. Vegas;24;Chile;75;CF Monterrey ;10.5M;Left;20;CB
S. Nakajima;26;Japan;77;Portimonense SC;11.5M;Right;10;LM
S. Vasiliadis;23;Greece;70;DSC Arminia Bielefeld;2.4M;Right;39;CAM
21 Douglas Armeira;28;Brazil;74;Coritiba;3.8M;Right;2;RB
N. Seiwald;20;Austria;70;FC Red Bull Salzburg;3.5M;Right;13;CM
21 K. Monnet-Paquet;31;France;72;AS Saint-Étienne;1.9M;Right;22;LM
D. Luckassen;25;Netherlands;71;Fatih Karagümrük S.K.;2.1M;Right;25;CB
Moncayola;23;Spain;75;CA Osasuna;12M;Right;7;CDM
21 J. Sánchez;32;Colombia;68;Junior FC;800K;Right;6;CDM
A. Voglsammer;29;Germany;72;1. FC Union Berlin;2.3M;Right;9;ST
A. Bouzat;27;Argentina;71;Vélez Sarsfield;2M;Left;23;LM
B. Williams;20;England;75;Norwich City;8M;Right;21;RB
G. Pereiro;26;Uruguay;73;Cagliari;3.8M;Left;20;ST
Diego Rigonato;33;Brazil;68;Deportivo Toluca;625K;Left;33;LB
Alex Muñoz;26;Spain;71;CD Tenerife;2M;Left;3;LB
L. Lerager;27;Denmark;72;F.C. København;2.5M;Right;12;CM
M. Fabián;31;Mexico;72;Fútbol Club Juárez;1.9M;Right;31;CAM
A. Scholz;28;Denmark;75;Urawa Red Diamonds;5.5M;Right;28;CB
M. Livaja;27;Croatia;75;Hajduk Split;6M;Right;10;ST
21 P. Bargfrede;31;Germany;72;SV Werder Bremen;1.6M;Right;44;CDM
A. Al Sulayhim;27;Saudi Arabia;69;Al Nassr;1.6M;Right;8;CAM
Silas;22;Congo DR;75;VfB Stuttgart;12.5M;Right;14;ST
M. Kranevitter;28;Argentina;77;CF Monterrey ;10M;Right;5;CDM
19 H. Bedimo;33;Cameroon;70;Olympique de Marseille;500K;Left;12;CB
A. Hrustić;24;Australia;71;Eintracht Frankfurt;2.6M;Left;7;CAM
S. Byram;27;England;73;Norwich City;2.9M;Right;3;LB
20 Nuno Pinto;32;Portugal;70;Vitória de Setúbal;1.1M;Left;21;LB
21 H. Aleesami;28;Norway;73;;0;Left;19;LB
O. Idrissi;25;Morocco;76;Sevilla FC;10M;Right;22;CAM
J. Henry;32;England;68;Oxford United;950K;Right;17;RM
G. Þórarinsson;29;Iceland;67;New York City FC;900K;Left;20;LB
21 H. Fathi;26;Egypt;69;;0;Right;5;RWB
A. Büyük;33;Turkey;73;Yeni Malatyaspor;1.9M;Right;10;ST
D. Jevtić;28;Switzerland;71;AEK Athens;1.9M;Left;88;CAM
N. Madueke;19;England;77;PSV;23M;Left;10;CAM
O. Norburn;28;Grenada;65;Peterborough United;725K;Right;18;RM
Borja Mayoral;24;Spain;76;Roma;11.5M;Right;21;ST
N. Chalobah;26;England;74;Fulham;4.7M;Right;12;CDM
B. Zolinski;29;Germany;67;FC Erzgebirge Aue;1M;Right;31;ST
18 S. Azmoun;22;Iran;76;Rubin Kazan;11.5M;Right;33;ST
S. Janko;25;Switzerland;73;Real Valladolid CF;3.9M;Right;18;RB
21 J. Calleri;26;Argentina;75;CA Osasuna;6M;Right;16;ST
J. Dezi;29;Italy;70;Venezia FC;1.6M;Right;6;CM
21 Matheus Fernandes;22;Brazil;69;FC Barcelona;3.1M;Right;19;CM
19 Evandro;31;Brazil;71;Hull City;2.1M;Right;7;CAM
Melendo;23;Spain;76;RCD Espanyol de Barcelona;11.5M;Left;14;CAM
M. Corozo;28;Ecuador;70;LDU Quito;1.5M;Right;24;CB
F. Quagliarella;38;Italy;78;U.C. Sampdoria;4.8M;Right;27;CF
K. Narey;26;Germany;69;Fortuna Düsseldorf;1.4M;Right;20;RB
Z. Youssouf;21;France;71;AS Saint-Étienne;3M;Left;28;CM
R. Zalazar;21;Uruguay;70;FC Schalke 04;3.6M;Right;10;RM
I. Mathew;24;Nigeria;67;Lillestrøm SK;1.5M;Right;8;RWB
Guilson Paiva;25;Brazil;78;Flamengo;15.5M;Right;17;RM
R. Aabid;29;France;71;Yeni Malatyaspor;1.6M;Right;8;CDM
S. Lauper;24;Switzerland;70;BSC Young Boys;2.4M;Right;30;CM
J. Báez;30;Paraguay;72;Club Libertad;1.9M;Right;24;CB
L. Godoy;26;Argentina;73;Estudiantes de La Plata;3.7M;Right;29;RB
Trincão;21;Portugal;76;Wolverhampton Wanderers;17M;Left;11;CAM
M. Olivera;23;Uruguay;76;Getafe CF;16M;Left;17;LB
S. Gustafson;26;Sweden;71;FC Utrecht;2.3M;Left;10;CAM
B. Bolingoli;26;Belgium;70;Celtic;1.8M;Left;23;LWB
A. Ienaga;35;Japan;73;Kawasaki Frontale;1.2M;Left;41;RW
19 R. Taylor;33;England;67;Fleetwood Town;300K;Right;18;CDM
C. Lenglet;26;France;82;FC Barcelona;37.5M;Left;15;CB
Muriqui;35;Brazil;73;Shijiazhuang Ever Bright F.C.;1.3M;Right;10;CF
A. Gruber;26;Austria;71;LASK Linz;2.4M;Left;17;CAM
K. Kerschbaumer;29;Austria;68;1. FC Heidenheim 1846;1.2M;Right;27;CM
Pol Llonch;28;Spain;73;Willem II;2.7M;Right;8;CDM
Bruma;26;Portugal;76;PSV;9M;Right;19;LM
Negredo;35;Spain;78;Cádiz CF;6M;Left;18;ST
T. Bunmathan;31;Thailand;69;Yokohama F. Marinos;1M;Left;5;LB
L. Wing;26;England;69;Sheffield Wednesday;1.7M;Right;26;CAM
B. Raman;26;Belgium;72;RSC Anderlecht;3.1M;Right;9;ST
D. Amartey;26;Ghana;76;Leicester City;8.5M;Right;18;CB
Alexandre Pato;31;Brazil;75;Orlando City Soccer Club;4.8M;Right;7;ST
Brais Méndez;24;Spain;76;RC Celta de Vigo;12M;Left;23;CAM
I. Piatti;36;Argentina;75;Racing Club;1.8M;Right;11;CAM
21 F. Kroos;29;Germany;68;Eintracht Braunschweig;1.2M;Right;18;CM
J. González;22;Mexico;70;Club Necaxa;2.4M;Right;25;CDM
A. Hadžiahmetović;24;Bosnia and Herzegovina;71;İttifak Holding Konyaspor;3.5M;Right;18;CM
Lee Chang Min;27;Korea Republic;69;Jeju United FC;1.5M;Right;8;CM
Ruiz de Galarreta;27;Spain;73;RCD Mallorca;3.1M;Right;4;CDM
21 Roger Guedes;23;Brazil;75;Shandong Taishan;8M;Right;23;RM
Simão Acunha;33;Brazil;76;Clube Atlético Mineiro;4.7M;Right;10;CAM
B. Kololli;29;Kosovo;71;Shimizu S-Pulse;1.8M;Right;32;LM
H. Kawabe;25;Japan;69;Grasshopper Club Zürich;1.8M;Right;40;RM
A. Gholizadeh;25;Iran;74;Royal Charleroi S.C.;5.5M;Left;8;LM
16 D. Agger;30;Denmark;77;;0;Left;4;CB
J. Błaszczykowski;35;Poland;70;Wisła Kraków;650K;Right;16;CAM
Quaresma;37;Portugal;77;Vitória de Guimarães;3.4M;Right;7;RW
N. Otamendi;33;Argentina;81;SL Benfica;12.5M;Right;19;CB
19 M. Jedinák;33;Australia;71;Aston Villa;950K;Right;15;CB
S. Ernst;26;Germany;72;Hannover 96;2.9M;Left;10;CAM
T. Walcott;32;England;76;Southampton;6M;Right;32;RM
O. Popescu;27;Romania;68;FCSB (Steaua);1.3M;Right;23;CDM
B. Whiteman;25;England;70;Preston North End;2.1M;Right;4;CM
P. Schwarz;29;Czech Republic;67;Śląsk Wrocław;1M;Right;17;CM
M. Gajos;30;Poland;66;Lechia Gdańsk;825K;Right;7;RM
16 Rodrigo Caio;21;Brazil;75;São Paulo;4.7M;Right;3;CB
21 Camacho;30;Spain;74;VfL Wolfsburg;3.5M;Right;4;CB
C. Leemans;25;Netherlands;67;Viborg FF;1.3M;Left;14;CM
L. Acosta;27;Argentina;75;FC Cincinnati;6.5M;Right;11;CAM
19 A. Mounier;30;France;75;Panathinaikos FC;6.5M;Left;10;CAM
M. Mirahmetjan;30;China PR;65;Shanghai Port FC;675K;Left;25;LM
Y. Soteldo;24;Venezuela;77;Toronto FC;16.5M;Right;30;CAM
J. Intriago;25;Ecuador;72;Fútbol Club Juárez;3.1M;Right;35;CDM
K. Barmen;26;Norway;66;SK Brann;1M;Right;29;ST
G. Sakai;30;Japan;71;Vissel Kobe;1.6M;Right;24;LB
J. Vanlerberghe;25;Belgium;70;KV Mechelen;2.2M;Right;30;CDM
P. Steinhart;28;Germany;69;TSV 1860 München;1.3M;Left;36;LB
Pepe;38;Portugal;82;FC Porto;5.5M;Right;3;CB
C. Tosun;30;Turkey;74;Everton;4.1M;Right;28;ST
21 Afsha;24;Egypt;71;;0;Right;22;CAM
A. MacDonald;31;Scotland;65;Gillingham;600K;Right;7;LM
J. Bela;28;Angola;72;Birmingham City;2.4M;Right;11;LM
21 E. Aguerro;32;Uruguay;78;;0;Right;9;CF
G. Neves;22;Uruguay;73;Club Nacional de Football;4.7M;Right;8;CM
F. Ugrinic;22;Switzerland;67;FC Luzern;2.3M;Right;19;CDM
I. Bebou;27;Togo;77;TSG Hoffenheim;11.5M;Right;9;RW
Aleñá;23;Spain;74;Getafe CF;6.5M;Left;11;CAM
F. Haugen;29;Norway;66;Stabæk Fotball;825K;Right;8;CAM
J. Jønsson;28;Denmark;74;Cádiz CF;3.7M;Right;2;CDM
T. Monconduit;30;France;72;FC Lorient;2M;Right;23;CDM
Hwang Hee Chan;25;Korea Republic;75;Wolverhampton Wanderers;7.5M;Right;26;CAM
Aleix García;24;Spain;72;Girona FC;3.4M;Right;14;CAM
E. Papa;39;Argentina;70;Arsenal de Sarandí;350K;Left;3;LB
Guilherme Sityá;31;Brazil;72;İttifak Holding Konyaspor;1.7M;Left;12;LB
M. Lang;30;Switzerland;71;FC Basel 1893;1.6M;Right;5;CB
O. Giroud;34;France;79;AC Milan;8.5M;Left;9;ST
Leandro;28;Brazil;72;FC Tokyo;2.4M;Right;20;CAM
Choi Young Joon;29;Korea Republic;71;Jeonbuk Hyundai Motors;1.6M;Right;4;CDM
17 E. Frimpong;24;Ghana;69;Arsenal Tula;1.3M;Right;16;CDM
J. Sánchez;31;Mexico;71;Club Deportivo Guadalajara;1.4M;Right;17;RB
F. Lemoine;34;France;73;FC Lorient;1M;Right;18;CDM
21 Z. Bergdich;31;Morocco;72;BB Erzurumspor;1.7M;Left;21;LB
F. Đuričić;29;Serbia;76;U.S. Sassuolo Calcio;7.5M;Right;10;CAM
L. Abergel;28;France;75;FC Lorient;5.5M;Right;6;CDM
S. Malone;30;England;72;Millwall;2M;Left;11;LWB
20 S. Diallo;28;Guinea;68;Gençlerbirliği SK;900K;Right;28;CAM
L. Négo;30;Hungary;72;;0;Right;7;RM
A. Poko;28;Gabon;70;Altay SK;1.5M;Right;17;CDM
21 D. Torres;30;Colombia;71;Albacete BP;1.6M;Right;5;CDM
De Frutos;24;Spain;78;Levante Unión Deportiva;22M;Right;18;RM
M. Rojo;31;Argentina;75;Boca Juniors;3.8M;Left;6;CB
21 D. Opare;29;Ghana;68;SV Zulte Waregem;1.1M;Right;4;RB
19 C. Dempsey;34;United States;76;Seattle Sounders FC;3.4M;Right;2;CAM
M. De Sciglio;28;Italy;76;Juventus;7M;Right;2;RB
E. Taşdemir;25;Turkey;69;GZT Giresunspor;1.6M;Left;26;LM
Gregore;27;Brazil;72;Inter Miami CF;2.4M;Right;26;CB
Antoñito;33;Spain;69;FC Cartagena;725K;Right;18;RB
A. N'Diaye;31;Senegal;73;Al Shabab;2.1M;Right;81;CDM
R. Neudecker;24;Germany;69;TSV 1860 München;2M;Left;31;LM
S. Rondón;31;Venezuela;77;Everton;9M;Right;33;ST
N. Gaitán;33;Argentina;76;Club Atlético Peñarol;4.7M;Left;30;CAM
I. Ndiaye;22;Senegal;71;FC Luzern;4.2M;Left;7;LM
M. Dembélé;24;France;78;Olympique Lyonnais;20.5M;Right;9;ST
L. Krejčí;22;Czech Republic;74;AC Sparta Praha;8M;Left;37;CB
J. Gómez;27;Mexico;70;Fútbol Club Juárez;1.5M;Right;5;RB
Y. En-Nesyri;24;Morocco;82;Sevilla FC;44M;Left;15;ST
A. Ricaurte;29;Colombia;72;FC Dallas;2.3M;Left;10;CAM
I. Sosa;34;Argentina;73;Pachuca;1.4M;Right;18;RM
Matheus Reis;26;Brazil;75;Sporting CP;7M;Left;2;LWB
20 J. Cortés;29;Mexico;68;Club Atlético de San Luis;850K;Right;12;CM
H. Sakhi;25;Morocco;71;AJ Auxerre;2.7M;Right;22;CAM
21 J. Carreño;23;Chile;69;Club Deportivo Oriente Petrolero;2.2M;Right;7;RM
Rafael Tolói;30;Italy;80;Atalanta;17.5M;Right;2;CB
I. Ljubić;24;Austria;70;SK Sturm Graz;2.4M;Right;30;CM
F. N'Sakala;30;Congo DR;71;Beşiktaş JK;1.6M;Left;21;LB
P. Goltz;36;Argentina;75;Club Atlético Colón;1M;Right;6;CB
C. Ünder;23;Turkey;77;Olympique de Marseille;13.5M;Left;17;CAM
V. Janelt;23;Germany;73;Brentford;5.5M;Left;27;CDM
L. Barreiro Martins;21;Luxembourg;72;1. FSV Mainz 05;5M;Right;8;CM
A. Nagy;26;Hungary;70;;0;Right;8;RWB
18 E. Mammana;21;Argentina;77;Zenit St. Petersburg;13.5M;Right;30;CDM
E. Cecchini;24;Argentina;71;Gimnasia y Esgrima La Plata;3.5M;Right;5;CDM
F. Kainz;28;Austria;75;1. FC Köln;5.5M;Right;11;LM
21 Guga Rodrigues;22;Portugal;69;Rio Ave FC;3.1M;Right;16;CAM
R. Ledson;23;England;72;Preston North End;3.2M;Right;18;CDM
I. Sylla;27;Guinea;71;Toulouse Football Club;1.8M;Left;12;LWB
J. Grant;26;England;68;Peterborough United;1.4M;Right;11;CAM
Maikel Mesa;30;Spain;67;Unión Deportiva Las Palmas;850K;Right;8;CDM
Ronaldo Vieira;22;England;71;U.C. Sampdoria;4M;Right;14;CDM
J. Karlsson;22;Sweden;75;AZ Alkmaar;11.5M;Right;11;CAM
A. El Ghazi;26;Netherlands;76;Aston Villa;9M;Right;21;ST
William;26;Brazil;73;VfL Wolfsburg;3.7M;Right;2;RWB
V. Berisha;27;Norway;70;Viking FK;1.9M;Right;14;ST
A. Mühling;28;Germany;72;Holstein Kiel;2.3M;Right;8;CM
J. Aholou;27;Côte d'Ivoire;75;RC Strasbourg Alsace;6.5M;Left;6;CDM
L. Fomba;23;France;72;Nîmes Olympique;3.4M;Right;12;CB
T. Lawrence;27;Wales;71;Derby County;2M;Right;10;LM
21 K. Laribi;29;Tunisia;69;Hellas Verona;1.4M;Right;44;RW
B. Toma;22;Switzerland;69;KRC Genk;3.1M;Right;14;CAM
B. Sosa;23;Croatia;77;VfB Stuttgart;15M;Left;24;LWB
Gustavo Assunção;21;Brazil;73;Galatasaray SK;7M;Right;12;CDM
Adolfinho Padilha;29;Brazil;74;Bahia;3.7M;Left;18;LB
C. Tzolis;19;Greece;74;Norwich City;10M;Right;18;RM
David Seijalbo;25;Brazil;76;Clube Atlético Mineiro;7.5M;Left;11;CDM
T. Weah;21;United States;74;LOSC Lille;8.5M;Right;22;ST
P. Seguin;26;Germany;73;SpVgg Greuther Fürth;3.7M;Right;33;CM
M. Bakalorz;31;Germany;69;MSV Duisburg;975K;Right;6;CB
E. Díaz;25;Argentina;73;Club Atlético Talleres;4.2M;Left;15;CDM
Quintillà;24;Spain;73;CD Leganés;4.3M;Left;16;LB
H. Faik;29;Netherlands;71;Al Faisaly;1.8M;Left;6;CM
M. Stendera;25;Germany;69;FC Ingolstadt 04;1.8M;Right;10;CAM
E. Ünal;24;Turkey;75;Getafe CF;9M;Right;10;ST
E. Sarić;29;Bosnia and Herzegovina;70;Al Ahli;1.6M;Left;31;CM
21 O. Gaber;28;Egypt;72;;0;Right;4;RB
D. Pelkas;27;Greece;76;Fenerbahçe SK;8M;Right;14;LM
21 A. Turan;28;Turkey;69;MKE Ankaragücü;1.3M;Left;89;LB
Sandro Manoel;32;Brazil;71;Al Taawoun;1.2M;Right;55;CDM
S. Moore;24;United States;72;CD Tenerife;3.1M;Right;21;RB
C. Gallagher;21;England;74;Crystal Palace;9.5M;Right;23;CM
S. Thern;28;Sweden;68;IFK Göteborg;1.2M;Right;20;CAM
L. Boyé;25;Argentina;74;Elche CF;6.5M;Right;9;ST
H. Mukhtar;26;Germany;73;Nashville SC;3.8M;Right;10;RM
21 M. Fernández;34;Chile;71;Colo-Colo;875K;Right;14;CAM
H. Okuno;31;Japan;69;Cerezo Osaka;1.1M;Right;25;RM
19 E. Echiéjilé;30;Nigeria;70;HJK Helsinki;1.3M;Left;2;CB
Wilson Eduardo;30;Angola;73;Aytemiz Alanyaspor;2.9M;Right;17;RM
B. Thompson;25;England;69;Millwall;1.8M;Right;8;CM
Zé Luís;30;Cape Verde Islands;77;FC Lokomotiv Moscow;10.5M;Left;29;ST
Ailtio Coelho;29;Brazil;74;São Paulo;4.1M;Left;28;LM
C. Săpunaru;37;Romania;68;Rapid București;220K;Right;22;CB
20 Bruno;35;Spain;76;Villarreal CF;3.2M;Left;21;CM
Toni Lato;23;Spain;73;Valencia CF;4.5M;Left;3;LB
M. Pjaca;26;Croatia;75;Torino F.C.;6.5M;Right;11;LW
Ricardo Ryller;27;Brazil;70;Al Fayha;1.8M;Right;37;CM
G. Tutino;24;Italy;72;Parma;3.6M;Right;9;CAM
S. Cáseres;24;Argentina;74;Vélez Sarsfield;6M;Right;35;CDM
T. Fosu-Mensah;23;Netherlands;73;Bayer 04 Leverkusen;6M;Right;24;CB
G. Konan;25;Côte d'Ivoire;75;Stade de Reims;7M;Left;3;LB
D. Samassékou;25;Mali;76;TSG Hoffenheim;9M;Right;18;CDM
M. Haïdara;28;Mali;73;Racing Club de Lens;2.8M;Left;21;LWB
A. Sørloth;25;Norway;76;Real Sociedad;10M;Left;23;ST
Lucas Mineiro;25;Brazil;70;SC Braga;2.3M;Left;25;CDM
Luna;30;Spain;71;FC Cartagena;1.6M;Left;19;LB
A. Forshaw;29;England;71;Leeds United;1.8M;Right;4;CM
J. Meram;32;Iraq;68;Real Salt Lake;950K;Right;9;LM
M. Leitner;28;Germany;71;FC Zürich;1.9M;Right;78;CM
12 Nilmar;26;Brazil;83;Villarreal CF;16.5M;Right;7;ST
G. Silva;27;Uruguay;71;FC Cartagena;2.1M;Left;20;CB
Everaldo;29;Brazil;74;Kashima Antlers;4.2M;Right;9;ST
D. de Buen;29;Mexico;70;Puebla FC;1.4M;Right;5;CDM
A. Sima;20;Senegal;73;Stoke City;7.5M;Right;27;ST
21 H. Saivet;29;Senegal;65;Newcastle United;700K;Right;31;CAM
21 F. Klein;33;Austria;69;FK Austria Wien;725K;Right;17;RB
M. Olise;19;France;73;Crystal Palace;7M;Left;7;CAM
M. Power;27;England;66;Wigan Athletic;900K;Right;8;CDM
D. Louiserre;26;France;67;Chamois Niortais Football Club;1.2M;Right;6;CAM
B. Lennon;23;United States;70;Atlanta United;2M;Right;11;RB
Rúben Vezo;27;Portugal;76;Levante Unión Deportiva;8.5M;Right;14;CB
21 R. Bobadilla;33;Paraguay;72;Club Guaraní;1.5M;Right;7;ST
T. Wiesner;23;Czech Republic;72;AC Sparta Praha;3.3M;Right;28;RB
L. Kinsella;25;Republic of Ireland;64;Walsall;775K;Right;8;CDM
Mauro Júnior;22;Brazil;74;PSV;7M;Left;17;CAM
T. Romanczuk;29;Poland;69;Jagiellonia Białystok;1.2M;Left;6;CDM
A. Witry;25;Norway;71;AZ Alkmaar;2.6M;Right;15;RWB
S. Nutz;29;Austria;68;SV Ried;1.2M;Left;22;CAM
Luiz Araújo;25;Brazil;77;Atlanta United;14M;Left;19;CAM
A. Barkok;23;Morocco;73;Eintracht Frankfurt;4.8M;Right;27;CAM
A. Touré;25;France;74;Eintracht Frankfurt;5M;Right;18;RB
19 R. Hilbert;33;Germany;70;SpVgg Greuther Fürth;675K;Right;19;CDM
E. Löwen;24;Germany;71;VfL Bochum 1848;2.8M;Right;38;CDM
B. Ajdini;28;Germany;67;SV Sandhausen;925K;Right;19;RB
I. Radovanović;32;Serbia;74;Genoa;2.7M;Right;21;CB
16 G. De Arrascaeta;21;Uruguay;73;Cruzeiro;4.5M;Right;10;CAM
M. Gaus;31;Germany;69;FC Ingolstadt 04;1M;Left;19;LB
Alan Kardec;32;Brazil;77;Shenzhen FC;8.5M;Right;27;ST
20 R. Botta;29;Argentina;75;Defensa y Justicia;6.5M;Left;7;CAM
A. Zorgane;21;Algeria;69;Royal Charleroi S.C.;3.1M;Right;6;CM
C. Hudson-Odoi;20;England;77;Chelsea;23M;Right;20;CAM
Rúben Dias;24;Portugal;87;Manchester City;102.5M;Right;3;CB
Pepelu;22;Spain;71;Levante Unión Deportiva;4M;Right;8;CM
M. Rodríguez;35;Argentina;69;Defensa y Justicia;425K;Right;15;RB
21 R. van Rhijn;29;Netherlands;67;FC Emmen;900K;Right;34;RB
J. Schouten;24;Netherlands;76;Bologna;10.5M;Right;30;CDM
C. Budescu;32;Romania;73;FCSB (Steaua);2.4M;Right;11;CAM
R. Azeez;28;Nigeria;70;Granada CF;1.4M;Right;12;CDM
Y. Shakhov;30;Ukraine;70;AEK Athens;1.5M;Right;28;CM
C. Ikonomidis;26;Australia;72;Melbourne Victory;2.8M;Right;7;RM
S. Feghouli;31;Algeria;75;Galatasaray SK;4.7M;Right;89;RM
K. Jakić;24;Croatia;73;Eintracht Frankfurt;4.2M;Right;6;CDM
M. Sarr;22;France;74;Chelsea;5.5M;Left;31;CB
20 A. Rosi;32;Italy;70;Perugia;1.1M;Right;2;RB
E. Rakip;25;Sweden;67;Malmö FF;1.5M;Right;7;CM
T. Murg;26;Austria;72;PAOK;3.1M;Left;10;CAM
20 Iván López;25;Spain;71;Levante Unión Deportiva;2.6M;Right;2;RB
Lee Jae Sung;28;Korea Republic;75;1. FSV Mainz 05;5.5M;Left;7;CM
R. Martínez;27;Colombia;75;Club América;6.5M;Right;9;ST
M. Höger;31;Germany;69;SV Waldhof Mannheim 07;975K;Right;37;CDM
M. Frantz;34;Germany;68;Hannover 96;550K;Left;8;CM
H. Vučkić;27;Slovenia;66;Real Zaragoza;925K;Left;39;ST
Toni Villa;26;Spain;76;Real Valladolid CF;9M;Right;19;LM
Quique;31;Spain;71;SD Eibar;1.6M;Left;7;ST
E. Fernandes;25;Switzerland;71;DSC Arminia Bielefeld;2.6M;Right;22;CDM
Kwon Chang Hoon;27;Korea Republic;72;Suwon Samsung Bluewings;2.5M;Left;22;RM
M. Holgate;24;England;77;Everton;13M;Right;4;CB
14 J. Riquelme;35;Argentina;79;Boca Juniors;2.5M;Right;10;CAM
G. Medel;33;Chile;74;Bologna;2.1M;Right;17;CB
F. Hinestroza;31;Colombia;72;Junior FC;1.9M;Left;8;LM
Josué Chiamulera;29;Brazil;82;Grêmio;25.5M;Right;2;CB
M. Berisha;23;Germany;75;Fenerbahçe SK;8.5M;Right;11;ST
Son Jun Ho;29;Korea Republic;71;Shandong Taishan;1.6M;Right;28;CDM
Ricardo Lopes;30;Brazil;73;Shanghai Port FC;3M;Right;10;ST
E. Matazo;19;Belgium;70;AS Monaco;3.2M;Right;36;CAM
Fidalgo;24;Spain;72;Club América;3.7M;Right;8;CAM
M. Hasebe;37;Japan;77;Eintracht Frankfurt;2.1M;Right;20;CDM
Z. Labyad;28;Morocco;75;Ajax;5.5M;Right;19;CAM
Y. Benzia;26;Algeria;70;Dijon FCO;1.9M;Right;10;CAM
M. Diaby;21;France;81;Bayer 04 Leverkusen;52.5M;Left;19;LM
Juanjo Nieto;26;Spain;70;Unión Deportiva Almería;1.9M;Right;12;RB
P. Sisto;26;Denmark;71;FC Midtjylland;2.2M;Right;7;CAM
G. Piovi;26;Argentina;69;Club Atlético Colón;1.6M;Left;3;CDM
J. Wurtz;29;Germany;65;SV Wehen Wiesbaden;700K;Right;8;ST
19 N. El Zhar;31;Morocco;76;CD Leganés;7M;Right;10;CAM
N. Sliti;28;Tunisia;75;Ettifaq FC;5.5M;Right;10;LM
A. Diawara;23;Guinea;76;Roma;9M;Right;42;CDM
M. Camara;23;France;75;AS Saint-Étienne;8M;Right;8;CDM
E. Durm;29;Germany;74;Eintracht Frankfurt;3.7M;Right;37;RWB
21 Jonatan Lucca;26;Brazil;69;SC Farense;1.8M;Right;47;CM
E. Dasa;28;Israel;72;Vitesse;2.1M;Right;2;RWB
V. Pálsson;30;Iceland;72;FC Schalke 04;2M;Right;4;CB
B. Bjarnason;33;Iceland;67;Adana Demirspor;625K;Right;67;ST
Zheng Zheng;31;China PR;68;Shandong Taishan;825K;Left;21;CB
L. Freeman;29;England;70;Sheffield United;1.6M;Left;15;LM
Edgar Méndez;31;Spain;73;Deportivo Alavés;2.5M;Right;17;RM
